Timestamp,PID,Nome,CPU_Percent,Memoria_MB,Swap_MB,IO_Read_Bps,IO_Write_Bps,Net_RX_Bps,Net_TX_Bps,Threads,Vol_Ctxt_Switches,NonVol_Ctxt_Switches,Minor_Page_Faults,Major_Page_Faults,Syscalls_Read,Syscalls_Write
1762653686,1,systemd,0.00,12.09,0.00,0,0,1999892,997068,1,5920,159,5584,118,0,0
1762653686,1011,bash,0.00,5.25,0.00,73482240,1271808,1999892,997068,1,1511,3,17576,0,30025,7380
1762653688,1,systemd,0.00,12.09,0.00,0,0,0,0,1,5920,159,5584,118,0,0
1762653688,1011,bash,0.00,5.25,0.00,0,0,0,0,1,1511,3,17576,0,30025,7380
1762653690,1,systemd,0.50,12.09,0.00,0,0,45,45,1,5922,159,5584,118,0,0
1762653690,1011,bash,0.00,5.25,0.00,0,0,45,45,1,1511,3,17576,0,30025,7380
1762653692,1,systemd,0.00,12.09,0.00,0,0,0,0,1,5922,159,5584,118,0,0
1762653692,1011,bash,0.00,5.25,0.00,0,0,0,0,1,1511,3,17576,0,30025,7380
1762653694,1,systemd,0.50,12.09,0.00,0,0,66,66,1,5924,159,5584,118,0,0
1762653694,1011,bash,0.00,5.25,0.00,0,0,66,66,1,1511,3,17576,0,30025,7380
1762653696,1,systemd,0.00,12.09,0.00,0,0,0,0,1,5924,159,5584,118,0,0
1762653696,1011,bash,0.00,5.25,0.00,0,0,0,0,1,1511,3,17576,0,30025,7380
1762653698,1,systemd,0.00,12.09,0.00,0,0,0,0,1,5924,159,5584,118,0,0
1762653698,1011,bash,0.00,5.25,0.00,0,0,0,0,1,1511,3,17576,0,30025,7380
1762653700,1,systemd,0.00,12.09,0.00,0,0,45,45,1,5926,159,5584,118,0,0
1762653700,1011,bash,0.00,5.25,0.00,0,0,45,45,1,1511,3,17576,0,30025,7380
1762653702,1,systemd,0.00,12.09,0.00,0,0,0,0,1,5926,159,5584,118,0,0
1762653702,1011,bash,0.00,5.25,0.00,0,0,0,0,1,1511,3,17576,0,30025,7380
1762653704,1,systemd,0.00,12.09,0.00,0,0,45,45,1,5928,159,5584,118,0,0
1762653704,1011,bash,0.00,5.25,0.00,0,0,45,45,1,1511,3,17576,0,30025,7380
1762653706,1,systemd,0.00,12.09,0.00,0,0,0,0,1,5928,159,5584,118,0,0
1762653706,1011,bash,0.00,5.25,0.00,0,0,0,0,1,1511,3,17576,0,30025,7380
1762653708,1,systemd,0.00,12.09,0.00,0,0,21,21,1,5928,159,5584,118,0,0
1762653708,1011,bash,0.00,5.25,0.00,0,0,21,21,1,1511,3,17576,0,30025,7380
1762653710,1,systemd,0.50,12.09,0.00,0,0,45,45,1,5930,159,5584,118,0,0
1762653710,1011,bash,0.00,5.25,0.00,0,0,45,45,1,1511,3,17576,0,30025,7380
1762653712,1,systemd,0.00,12.09,0.00,0,0,0,0,1,5930,159,5584,118,0,0
1762653712,1011,bash,0.00,5.25,0.00,0,0,0,0,1,1511,3,17576,0,30025,7380
1762653714,1,systemd,0.00,12.09,0.00,0,0,45,45,1,5932,159,5584,118,0,0
1762653714,1011,bash,0.00,5.25,0.00,0,0,45,45,1,1511,3,17576,0,30025,7380
1762653716,1,systemd,0.00,12.09,0.00,0,0,0,0,1,5932,159,5584,118,0,0
1762653716,1011,bash,0.00,5.25,0.00,0,0,0,0,1,1511,3,17576,0,30025,7380
1762653718,1,systemd,0.00,12.09,0.00,0,0,0,0,1,5932,159,5584,118,0,0
1762653718,1011,bash,0.00,5.25,0.00,0,0,0,0,1,1511,3,17576,0,30025,7380
